StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,inc_modc,Time_modc_First Click,Time_modc_Last Click,Time_modc_Page Submit,Time_modc_Click Count,rel1_modc,rel2_modc,inc_thinkC,time_thinkC_First Click,time_thinkC_Last Click,time_thinkC_Page Submit,time_thinkC_Click Count,rel1_thinkC,rel2_thinkC,inc_nonc,Time_nonc_First Click,Time_nonc_Last Click,Time_nonc_Page Submit,Time_nonc_Click Count,rel1_nonc,rel2_nonc,true_modr,time_modr_First Click,time_modr_Last Click,time_modr_Page Submit,time_modr_Click Count,rel1_modr,rel2_modr,inc_thinkR,time_thinkR_First Click,time_thinkR_Last Click,time_thinkR_Page Submit,time_thinkR_Click Count,rel1_thinkR,rel2_thinkR,true_nonr,time_nonr_First Click,time_nonr_Last Click,time_nonr_Page Submit,time_nonr_Click Count,rel1_nonr,rel2_nonr,true_indc,time_indc_First Click,time_indc_Last Click,time_indc_Page Submit,time_indc_Click Count,rel1_indc,rel2_indc,true_inda,time_inda_First Click,time_inda_Last Click,time_inda_Page Submit,time_inda_Click Count,rel1_inda,rel2_inda,DemoInstr,Age,Gender,Gender_3_TEXT,Ethnicity,Ethnicity_6_TEXT,Education,SES
1/11/2019 16:23,1/11/2019 16:24,0,,100,67,1,1/11/2019 16:24,R_VOLzwzB8F9dQGXv,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1.384,2.581,12.4,2,1,1,,,,,,,,,,,,,,,,35,2,,3,,4,6
1/11/2019 16:22,1/11/2019 16:24,0,,100,102,1,1/11/2019 16:24,R_ZDcSf9BFHkopsmB,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,66.743,66.743,67.822,1,1,2,,,,,,,,,,,,,,,,,,,,,,,28,1,,5,,5,5
1/11/2019 16:22,1/11/2019 16:24,0,,100,104,1,1/11/2019 16:24,R_e3sXmsfdfCGlRgR,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,55.758,62.025,63.098,4,3,3,,52,1,,5,,5,5
1/11/2019 16:22,1/11/2019 16:24,0,,100,111,1,1/11/2019 16:24,R_4Ho2h47vBrUbfUd,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,7,70.493,70.493,73.006,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,1,,5,,5,5
1/11/2019 16:22,1/11/2019 16:24,0,,100,89,1,1/11/2019 16:24,R_3F2vMhGTNIhs63P,,,,,,,anonymous,EN,,,,,,,,,,,,,,,4,7.867,36.378,36.862,34,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,,5,,8,6
1/11/2019 16:22,1/11/2019 16:24,0,,100,100,1,1/11/2019 16:24,R_1IcmAEXXZ7GzdIw,,,,,,,anonymous,EN,3,30.281,49.881,55.695,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,1,,5,,5,5
1/11/2019 16:22,1/11/2019 16:24,0,,100,94,1,1/11/2019 16:24,R_A5nNqlXIIGXpF8B,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,49.988,49.988,51.324,1,1,2,,,,,,,,,,,,,,,,,,,,,,,36,1,,3,,4,9
1/11/2019 16:22,1/11/2019 16:24,0,,100,115,1,1/11/2019 16:24,R_3j02Aillyefl8SR,,,,,,,anonymous,EN,4,40.576,77.209,77.88,12,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,1,,3,,4,7
1/11/2019 16:22,1/11/2019 16:24,0,,100,122,1,1/11/2019 16:24,R_2zBxglOidPOmf2a,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,63.262,68.837,69.838,2,3,3,,48,2,,5,,3,6
1/11/2019 16:22,1/11/2019 16:24,0,,100,111,1,1/11/2019 16:24,R_1i3BQcFd4bkZIN3,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,0.701,65.094,65.903,7,1,3,,,,,,,,,45,2,,5,,5,10
1/11/2019 16:22,1/11/2019 16:24,0,,100,119,1,1/11/2019 16:24,R_3PzQPTAbM8x9M5m,,,,,,,anonymous,EN,,,,,,,,3,1.64,60.126,61.228,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,2,,5,,4,7
1/11/2019 16:22,1/11/2019 16:24,0,,100,126,1,1/11/2019 16:24,R_3j6xG3cgqiliU4x,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,6.859,82.678,84.787,3,1,2,,,,,,,,,,,,,,,,36,2,,5,,5,7
1/11/2019 16:23,1/11/2019 16:24,0,,100,94,1,1/11/2019 16:24,R_3rTAROV5jHHqVqO,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,62.05,62.05,63.756,1,1,2,,,,,,,,,,,,,,,,,,,,,,,24,1,,5,,2,9
1/11/2019 16:23,1/11/2019 16:24,0,,100,107,1,1/11/2019 16:24,R_qF5VxEcgFkGa29r,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,56.048,60.24,62.821,2,1,2,,,,,,,,,40,2,,5,,5,4
1/11/2019 16:23,1/11/2019 16:24,0,,100,64,1,1/11/2019 16:24,R_31gU8rXxccfxn1R,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2.211,16.577,17.044,9,3,1,,,,,,,,,24,1,,5,,4,4
1/11/2019 16:23,1/11/2019 16:24,0,,100,72,1,1/11/2019 16:24,R_2QQYSUI0wckHYGP,,,,,,,anonymous,EN,,,,,,,,,,,,,,,6,9.18,10.227,11.302,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,1,,5,,5,7
1/11/2019 16:23,1/11/2019 16:24,0,,100,103,1,1/11/2019 16:24,R_3nHsZAoq151gG3s,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,1,1.103,55.656,61.875,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,,5,,4,7
1/11/2019 16:22,1/11/2019 16:24,0,,100,123,1,1/11/2019 16:24,R_2dlGXzPPZNFNiso,,,,,,,anonymous,EN,,,,,,,,7,17.955,47.362,48.499,7,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,,5,,5,8
1/11/2019 16:23,1/11/2019 16:24,0,,100,94,1,1/11/2019 16:24,R_2f7Dw1aYuH6wRgE,,,,,,,anonymous,EN,5,47.959,47.959,48.746,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30,1,,5,,2,8
1/11/2019 16:22,1/11/2019 16:25,0,,100,144,1,1/11/2019 16:25,R_ZlV8RScHqVHBDi1,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,43.036,54.368,55.229,3,3,3,,39,1,,5,,4,10
1/11/2019 16:24,1/11/2019 16:25,0,,100,42,1,1/11/2019 16:25,R_ZfwKm0OVKTYfqeJ,,,,,,,anonymous,EN,,,,,,,,4,1.436,1.436,7.21,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,,5,,8,4
1/11/2019 16:22,1/11/2019 16:25,0,,100,137,1,1/11/2019 16:25,R_2CwXePVmZy7tQUp,,,,,,,anonymous,EN,1,39.111,49.9,51.202,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2,,5,,5,5
1/11/2019 16:23,1/11/2019 16:25,0,,100,87,1,1/11/2019 16:25,R_3dM5Z6Em7grDk0e,,,,,,,anonymous,EN,7,40.841,45.272,46.095,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,,5,,2,6
1/11/2019 16:23,1/11/2019 16:25,0,,100,108,1,1/11/2019 16:25,R_3GvWBOPVydhw7QU,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,22.701,74.486,77.727,4,1,1,,,,,,,,,,,,,,,,24,1,,5,,4,7
1/11/2019 16:22,1/11/2019 16:25,0,,100,140,1,1/11/2019 16:25,R_1mITpqyIIWWgVIx,,,,,,,anonymous,EN,,,,,,,,6,13.228,62.491,63.793,14,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,,5,,3,8
1/11/2019 16:23,1/11/2019 16:25,0,,100,111,1,1/11/2019 16:25,R_30hFdIRv0QvwDpB,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,63.09,63.09,64.258,1,1,2,,,,,,,,,,,,,,,,44,1,,5,,5,8
1/11/2019 16:22,1/11/2019 16:25,0,,100,149,1,1/11/2019 16:25,R_3MsAflUGlE6YIQy,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,2,46.962,99.042,102.312,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,1,,5,,5,5
1/11/2019 16:23,1/11/2019 16:25,0,,100,111,1,1/11/2019 16:25,R_1MXOPZji3rhcmtf,,,,,,,anonymous,EN,,,,,,,,2,53.703,53.703,59.222,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,1,,5,,6,5
1/11/2019 16:23,1/11/2019 16:25,0,,100,135,1,1/11/2019 16:25,R_2Yfzvuzdr5jnZxo,,,,,,,anonymous,EN,,,,,,,,7,22.301,66.598,71.779,6,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,,3,,4,5
1/11/2019 16:23,1/11/2019 16:25,0,,100,118,1,1/11/2019 16:25,R_2eUPmirK3odrr92,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,67.442,67.442,70.262,1,1,2,,,,,,,,,,,,,,,,,,,,,,,36,1,,5,,5,7
1/11/2019 16:23,1/11/2019 16:25,0,,100,120,1,1/11/2019 16:25,R_3NQxPc31rAkmWKN,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,9.227,87.332,88.775,3,2,2,,,,,,,,,,,,,,,,,,,,,,,31,1,,5,,4,5
1/11/2019 16:23,1/11/2019 16:25,0,,100,124,1,1/11/2019 16:25,R_bDeZymPAAXGk5Ql,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,4.88,33.555,62.277,3,1,2,,,,,,,,,,,,,,,,26,1,,3,,5,7
1/11/2019 16:23,1/11/2019 16:25,0,,100,104,1,1/11/2019 16:25,R_PUUif9ExkQdh6cp,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,2.457,41.444,42.121,2,3,3,,24,1,,3,,5,8
1/11/2019 16:23,1/11/2019 16:25,0,,100,144,1,1/11/2019 16:25,R_3h3zdEtVWgi69OI,,,,,,,anonymous,EN,,,,,,,,5,58.153,74.62,75.493,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33,2,,5,,4,5
1/11/2019 16:24,1/11/2019 16:25,0,,100,47,1,1/11/2019 16:25,R_3dE6Uz07yVe1Uf9,,,,,,,anonymous,EN,,,,,,,,3,18,18,18.9,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36,1,,5,,4,7
1/11/2019 16:24,1/11/2019 16:25,0,,100,79,1,1/11/2019 16:25,R_tSxLC67BJxLAdMt,,,,,,,anonymous,EN,,,,,,,,7,31.485,31.485,34.482,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,,2,,4,6
1/11/2019 16:22,1/11/2019 16:25,0,,100,170,1,1/11/2019 16:25,R_1gNL3WqhLcJ7gqd,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,101.82,101.82,102.713,1,3,3,,51,2,,5,,5,4
1/11/2019 16:22,1/11/2019 16:25,0,,100,167,1,1/11/2019 16:25,R_ZwTyBoWcdJTcCl3,,,,,,,anonymous,EN,,,,,,,,,,,,,,,6,85.373,85.373,88.504,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,2,,5,,5,4
1/11/2019 16:23,1/11/2019 16:25,0,,100,108,1,1/11/2019 16:25,R_1KrwK5SR9PA6hvd,,,,,,,anonymous,EN,,,,,,,,,,,,,,,4,58.887,58.887,60.04,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,2,,6,multi,5,9
1/11/2019 16:22,1/11/2019 16:25,0,,100,181,1,1/11/2019 16:25,R_esN6aF0z3Uy36kF,,,,,,,anonymous,EN,,,,,,,,,,,,,,,7,121.589,121.589,121.975,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,2,,5,,5,7
1/11/2019 16:24,1/11/2019 16:25,0,,100,92,1,1/11/2019 16:25,R_9oSduma6ajT80W5,,,,,,,anonymous,EN,4,44.394,44.394,46.725,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,,5,,2,4
1/11/2019 16:24,1/11/2019 16:25,0,,100,80,1,1/11/2019 16:25,R_O3XvL2tZiwnMPf3,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,2.47,2.47,33.327,1,1,2,,25,2,,5,,4,6
1/11/2019 16:24,1/11/2019 16:25,0,,100,71,1,1/11/2019 16:25,R_1GHZdh6heXJCyn2,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,30.626,30.626,31.708,1,1,2,,,,,,,,,41,1,,5,,4,9
1/11/2019 16:23,1/11/2019 16:25,0,,100,161,1,1/11/2019 16:25,R_1KqJ4h4snP3ClGO,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,29.57,41.205,44.195,3,1,2,,,,,,,,,22,2,,5,,5,8
1/11/2019 16:24,1/11/2019 16:25,0,,100,58,1,1/11/2019 16:25,R_vv2JPdZw1VANSnv,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5.735,10.708,11.656,2,2,2,,,,,,,,,,,,,,,,,,,,,,,54,1,,5,,6,5
1/11/2019 16:23,1/11/2019 16:25,0,,100,155,1,1/11/2019 16:25,R_1Fh0iQfZZDHmnf2,,,,,,,anonymous,EN,,,,,,,,,,,,,,,5,18.618,78.631,82.123,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,1,,5,,4,4
1/11/2019 16:24,1/11/2019 16:25,0,,100,84,1,1/11/2019 16:25,R_3KTa4gJNYunZXd2,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8.895,43.795,44.304,7,3,3,,28,1,,5,,4,3
1/11/2019 16:24,1/11/2019 16:25,0,,100,68,1,1/11/2019 16:25,R_1exIeQpdYQQ2Dw1,,,,,,,anonymous,EN,,,,,,,,,,,,,,,4,38.191,39.292,40.278,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,,5,,5,8
1/11/2019 16:24,1/11/2019 16:25,0,,100,66,1,1/11/2019 16:25,R_1ruGkOmWtUtTHdh,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,4,1.386,1.989,2.203,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,1,,5,,6,4
1/11/2019 16:24,1/11/2019 16:25,0,,100,115,1,1/11/2019 16:25,R_3pa2mlV6jaWZal7,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,59.652,59.652,61.174,1,2,2,,,,,,,,,,,,,,,,,,,,,,,46,2,,5,,6,4
1/11/2019 16:23,1/11/2019 16:26,0,,100,178,1,1/11/2019 16:26,R_1Kd75PD8msIP9eM,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,108.844,108.844,109.621,1,2,2,,,,,,,,,,,,,,,,,,,,,,,45,2,,5,,4,6
1/11/2019 16:22,1/11/2019 16:26,0,,100,212,1,1/11/2019 16:26,R_1EcCjQj7OMhgJK4,,,,,,,anonymous,EN,,,,,,,,,,,,,,,5,91.442,91.442,92.399,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31,1,,1,,5,5
1/11/2019 16:22,1/11/2019 16:26,0,,100,191,1,1/11/2019 16:26,R_2wiwx7GfR8qSHvz,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,84.192,84.192,86.307,1,1,1,,,,,,,,,,,,,,,,65,1,,5,,5,6
1/11/2019 16:22,1/11/2019 16:26,0,,100,196,1,1/11/2019 16:26,R_1Li0Zh2zYTLvplx,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,4,147.391,147.391,159.46,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,2,,5,,3,8
1/11/2019 16:23,1/11/2019 16:26,0,,100,132,1,1/11/2019 16:26,R_PRjOaSGv8rPrMK5,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,57.225,70.784,71.667,3,2,2,,,,,,,,,,,,,,,,28,1,,5,,4,7
1/11/2019 16:22,1/11/2019 16:26,0,,100,195,1,1/11/2019 16:26,R_UsyspD58sLsa3w5,,,,,,,anonymous,EN,2,93.562,93.562,99.731,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,2,,5,,4,4
1/11/2019 16:24,1/11/2019 16:26,0,,100,121,1,1/11/2019 16:26,R_6San6kEgUC3xqY9,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,1,15.864,67.967,69.287,9,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,1,,5,,4,9
1/11/2019 16:24,1/11/2019 16:26,0,,100,129,1,1/11/2019 16:26,R_3CIqe8roOivCx21,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,5,39.466,39.466,41.767,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,2,,3,,5,7
1/11/2019 16:25,1/11/2019 16:26,0,,100,61,1,1/11/2019 16:26,R_2Sddd1IbokM1Q3s,,,,,,,anonymous,EN,,,,,,,,,,,,,,,7,2.142,28.219,29.388,5,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,1,,5,,4,7
1/11/2019 16:25,1/11/2019 16:26,0,,100,60,1,1/11/2019 16:26,R_1i8szWOBaMD8kXu,,,,,,,anonymous,EN,4,0.65,1.149,1.307,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,1,,5,,6,4
1/11/2019 16:22,1/11/2019 16:26,0,,100,221,1,1/11/2019 16:26,R_3sb5tToMr3rzPsa,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,133.328,133.328,134.184,1,1,2,,,,,,,,,,,,,,,,,,,,,,,47,2,,1,,4,6
1/11/2019 16:22,1/11/2019 16:26,0,,100,207,1,1/11/2019 16:26,R_3g7AjSKB9hNCl18,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,136.347,136.347,139.54,1,1,2,,,,,,,,,55,1,,5,,4,6
1/11/2019 16:24,1/11/2019 16:26,0,,100,128,1,1/11/2019 16:26,R_V2LTWPDchmx2Qtb,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5.198,83.752,84.444,3,3,3,,24,2,,5,,6,5
1/11/2019 16:24,1/11/2019 16:26,0,,100,138,1,1/11/2019 16:26,R_3KAUCsPTrIeyLNp,,,,,,,anonymous,EN,,,,,,,,,,,,,,,7,18.988,66.898,68.552,12,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44,1,,5,,3,4
1/11/2019 16:25,1/11/2019 16:26,0,,100,69,1,1/11/2019 16:26,R_2bOgPv4Tjwhqpfw,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,26.727,26.727,27.338,1,1,2,,,,,,,,,28,1,,5,,5,5
1/11/2019 16:24,1/11/2019 16:26,0,,100,98,1,1/11/2019 16:26,R_2ZOBE4JnRhzZexl,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,54.173,54.173,54.755,1,1,2,,,,,,,,,,,,,,,,,,,,,,,29,1,,1,,5,8
1/11/2019 16:24,1/11/2019 16:26,0,,100,123,1,1/11/2019 16:26,R_u87EUmM090h4mbL,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,63.241,63.241,64.183,1,1,2,,,,,,,,,,,,,,,,61,1,,5,,5,5
1/11/2019 16:24,1/11/2019 16:26,0,,100,137,1,1/11/2019 16:26,R_CepGu4eSicSohz3,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3.139,55.631,57.403,4,2,2,,,,,,,,,,,,,,,,45,2,,5,,5,5
1/11/2019 16:25,1/11/2019 16:26,0,,100,56,1,1/11/2019 16:26,R_p5gglLuYRkZJSKZ,,,,,,,anonymous,EN,1,32.191,33.544,33.837,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,1,,5,,5,5
1/11/2019 16:25,1/11/2019 16:26,0,,100,52,1,1/11/2019 16:26,R_3fitiSiZ3pqhxw9,,,,,,,anonymous,EN,,,,,,,,7,25.496,25.496,26.187,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,1,,5,,2,7
1/11/2019 16:25,1/11/2019 16:26,0,,100,111,1,1/11/2019 16:26,R_24HkMO5DYEvXy5e,,,,,,,anonymous,EN,,,,,,,,,,,,,,,,,,,,,,7,67.403,67.403,68.233,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,1,,5,,2,8
